,XLV,XLI,XLU,XLK,AFTY,FAUS
1/17/17,67.590897,59.455345,44.836037,47.559174,12.53238,25.921085
1/18/17,67.504684,59.682812,44.781181,47.684151,12.578422,26.414392
1/19/17,67.073616,60.118801,44.38805,47.616852,12.513964,26.414392
1/20/17,66.901192,60.128284,44.470322,47.876423,12.633671,26.270885
1/23/17,66.62339,59.796558,44.24176,47.962952,12.633671,26.270885
1/24/17,66.163589,60.393665,44.23262,48.260979,12.642879,26.270885
1/25/17,66.786247,61.028683,44.23262,48.722439,12.642879,26.270885
1/26/17,66.268967,61.170853,44.250904,48.587845,12.688919,27.149872
1/27/17,66.814987,61.123466,44.24176,48.780121,12.725752,27.087088
1/30/17,66.489288,60.60218,44.278336,48.385956,12.760744,26.791101
1/31/17,67.552567,60.071415,44.964035,48.145615,12.788368,26.791101
2/1/17,68.136917,59.967152,44.186905,48.510929,12.808626,26.791101
2/2/17,68.11776,59.853424,44.653187,48.414791,12.808626,26.791101
2/3/17,68.414711,60.298878,44.708042,48.732052,12.716545,26.791101
2/6/17,68.491356,60.384186,44.616615,48.760891,12.709178,26.791101
2/7/17,68.55838,60.488449,44.72633,48.953156,12.652087,26.791101
2/8/17,68.453018,60.403145,45.16518,49.039692,12.670504,26.791101
2/9/17,68.702095,60.867561,44.781181,49.193508,12.688919,26.791101
2/10/17,68.836197,61.350945,45.06461,49.337711,12.808626,26.791101
2/13/17,69.257675,61.967007,45.284027,49.55883,12.808626,26.791101
2/14/17,69.803688,61.995449,44.954895,49.722267,12.863876,26.791101
2/15/17,70.560448,62.327179,44.845184,49.885704,12.845459,26.791101
2/16/17,70.464653,62.346123,45.293179,50.001064,12.886896,26.791101
2/17/17,70.560448,62.450382,45.32061,50.174107,12.789289,26.791101
2/21/17,70.876556,62.763157,45.796028,50.433681,12.983583,26.791101
2/22/17,70.771187,62.592556,45.988022,50.491364,13.057249,26.791101
2/23/17,71.288467,62.184998,46.463448,50.481747,12.974374,26.791101
2/24/17,71.633324,62.450382,47.167439,50.597118,12.949512,27.804626
2/27/17,71.978172,62.677856,46.902302,50.568268,12.817835,27.436888
2/28/17,71.83448,62.421951,47.332008,50.327934,13.001999,27.616272
3/1/17,72.552917,63.473995,46.911438,51.039349,12.900708,27.616272
3/2/17,72.323029,62.791603,47.249722,50.702869,12.734961,27.616272
3/3/17,72.610405,62.857941,47.103443,50.81823,12.719307,27.616272
3/6/17,72.332596,62.706295,47.012012,50.741322,12.698128,27.616272
3/7/17,71.824905,62.526215,46.984581,50.741322,12.698128,27.741838
3/8/17,72.112274,62.308224,46.308022,50.799007,12.744169,27.759779
3/9/17,72.505028,62.023888,46.207455,50.789394,12.650245,27.607304
3/10/17,72.782829,62.402992,46.59145,51.058575,12.650245,27.607304
3/13/17,72.725342,62.365086,46.728596,51.106647,12.827044,27.62524
3/14/17,72.457138,61.777451,46.682873,50.991272,12.771793,27.087088
3/15/17,73.367149,62.478817,47.432579,51.337372,12.919125,27.652149
3/16/17,72.658295,62.194485,46.911438,51.366222,12.854668,27.652149
3/17/17,72.258369,62.534378,47.194256,51.477196,12.633671,27.652149
3/20/17,72.152611,62.420124,46.881039,51.525455,12.688919,27.652149
3/21/17,71.585388,61.468025,47.544323,50.772697,12.722991,28.253086
3/22/17,71.604607,61.687008,47.774632,51.091164,12.679712,28.253086
3/23/17,71.383492,61.601318,47.627232,50.956055,12.670504,27.891382
3/24/17,71.421951,61.439453,47.802254,50.994659,12.670504,27.891382
3/27/17,71.614227,61.220482,47.618015,50.994659,12.799417,28.145847
3/28/17,71.6623,61.867912,47.581165,51.361393,12.716545,28.309433
3/29/17,71.681519,61.858395,47.452202,51.44825,12.716545,28.309433
3/30/17,71.691132,62.201157,47.083714,51.544746,12.716545,28.309433
3/31/17,71.48925,61.944069,47.267952,51.44825,12.748774,28.309433
4/3/17,71.546928,61.81078,47.258743,51.399998,12.744169,28.309433
4/4/17,71.508469,61.972637,47.406136,51.438599,12.744169,28.345789
4/5/17,71.287346,61.77269,47.673294,51.22628,12.781002,28.345789
4/6/17,71.412331,61.944069,47.553532,51.235931,12.781002,28.345789
4/7/17,71.537315,62.010719,47.350857,51.206982,12.799417,28.345789
4/10/17,71.402718,62.163055,47.433777,51.110466,12.679712,28.563902
4/11/17,71.306564,62.248749,47.415348,50.917454,12.702732,28.563902
4/12/17,71.306564,61.391857,47.765415,50.743748,12.725752,28.227638
4/13/17,71.123924,60.953884,47.608807,50.541073,12.725752,28.227638
4/17/17,71.383492,61.620354,47.82069,51.004311,12.596838,28.227638
4/18/17,70.604752,61.420425,47.931236,50.994659,12.53238,27.591471
4/19/17,70.816261,61.477551,47.599598,50.956055,12.458714,27.691439
4/20/17,71.258522,62.220184,47.415348,51.419292,12.578422,27.691439
4/21/17,70.835503,62.277313,47.654865,51.313129,12.587629,27.755062
4/24/17,71.537315,63.162769,47.903606,51.921131,12.541588,27.809587
4/25/17,71.844963,63.467453,47.839115,52.19136,12.606046,28.245813
4/26/17,72.239136,63.476967,47.691715,52.13345,12.569212,28.245813
4/27/17,72.392944,63.457928,47.857536,52.345764,12.615253,28.245813
4/28/17,72.585243,63.162769,47.627232,52.480881,12.596838,28.245813
5/1/17,72.748657,62.972343,47.341652,52.87656,12.587629,28.245813
5/2/17,72.950546,63.277023,47.396927,52.992371,12.587629,28.136759
5/3/17,72.594841,63.324638,47.231102,52.895863,12.523172,28.136759
5/4/17,73.075546,63.391277,47.396927,52.857258,12.462399,28.136759
5/5/17,73.037086,63.714989,47.654865,53.050274,12.449506,28.136759
5/8/17,72.585243,63.54361,47.63644,53.281898,12.385049,28.136759
5/9/17,72.671753,63.629314,47.286381,53.349445,12.43109,28.136759
5/10/17,72.460258,63.49601,47.360073,53.552116,12.523172,28.118582
5/11/17,72.498703,63.476967,47.424564,53.484562,12.578422,27.664177
5/12/17,72.373718,63.124687,47.654865,53.619671,12.854668,27.664177
5/15/17,72.84481,63.41983,47.857536,53.918839,12.8915,27.664177
5/16/17,72.566002,63.353195,47.507473,54.169762,12.854668,27.664177
5/17/17,71.614227,62.086887,47.627232,52.693195,12.734961,27.218859
5/18/17,71.931488,62.172585,47.793053,53.002014,12.730356,27.164331
5/19/17,72.133369,62.99139,47.977299,53.310844,12.781002,27.809587
5/22/17,72.325653,63.476967,48.391846,53.735481,12.854668,28.145847
5/23/17,72.566002,63.610264,48.520813,53.831985,13.020415,28.145847
5/24/17,72.748657,63.68644,48.797184,54.053944,13.057249,28.145847
5/25/17,73.094757,64.105362,49.193314,54.439983,13.434785,28.145847
5/26/17,72.960175,64.181534,49.193314,54.41103,13.471618,28.145847
5/30/17,72.854416,64.162476,49.349918,54.642647,13.545283,28.145847
5/31/17,73.142838,64.286255,49.598644,54.55579,13.600533,27.464237
6/1/17,73.950401,64.68615,49.948715,54.69091,13.76628,27.464237
6/2/17,74.431107,64.943214,50.003986,55.192745,13.628159,27.464237
6/5/17,74.219604,64.714706,49.847378,55.240997,13.490034,28.027699
6/6/17,74.036934,64.276749,49.736835,55.134834,13.646573,28.027699
6/7/17,74.238823,64.200577,49.902649,55.308552,13.738656,28.073139
6/8/17,74.027328,64.410034,49.488098,55.43401,13.904405,28.073139
6/9/17,74.527252,64.657585,49.442039,54.063606,13.97807,28.073139
6/12/17,74.431107,64.895607,49.349918,53.745125,13.932029,27.37336
6/13/17,74.584938,65.162201,49.469681,54.131153,13.941237,28.300343
6/14/17,74.940636,65.095558,49.736835,53.870586,13.77549,28.682043
6/15/17,74.863739,65.485924,50.022411,53.629318,13.609741,28.682043
6/16/17,74.987289,65.700195,50.251801,53.535328,13.554492,28.682043
6/19/17,75.769096,66.101967,50.084637,54.32988,13.692615,28.963776
6/20/17,76.020065,65.394081,50.112492,53.893841,13.591325,28.345789
6/21/17,76.985283,64.954041,49.815308,54.194225,13.747865,27.564211
6/22/17,77.786385,64.820122,49.583134,54.213612,13.881383,28.030008
6/23/17,77.67057,65.05928,49.41597,54.552742,13.932949,28.030008
6/26/17,77.593353,65.078392,49.750301,54.262058,14.025031,28.522243
6/27/17,76.888756,64.590523,49.193085,53.370602,14.13461,28.522243
6/28/17,77.294136,65.174049,48.719444,54.039192,14.07936,28.649858
6/29/17,76.589523,64.61924,48.329403,53.070221,14.065548,28.649858
6/30/17,76.483353,65.154915,48.255104,53.021778,14.166839,28.28524
7/3/17,76.618484,65.556694,48.032219,52.653576,14.028714,28.28524
7/5/17,77.072128,65.748016,47.800041,53.176815,14.143817,28.28524
7/6/17,76.077965,65.174049,47.781464,52.692337,14.143817,28.28524
